Listing Pictures,MLS #,Status,Style,Full Address,Zip,Community,MapCoord,Beds,TotB,EstSF,YrBlt,DOMLS,ListPrice,Lst Date,Sold Price,COEDate,Sale/Rent,Vacation Rental By Owner
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180045508/0/120/90/17da4cb5c4564ef0eb23f83e48c83744/1/97a502b57048cb740c163ca41bb0b160/180045508.JPG,180045508,ACT,ATT,4095 Bonita Road  132,91902,BONT,,2,2,"1,007",1970,3,"$310,000 ",8/15/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180024056/0/120/90/8bbd98b6c6a04cded0f2cc2589970278/1/4b74ecd002f0b22ac1379b3b3bab2ac8/180024056.JPG,180024056,ACT,TOWNH,88 Fourth Ave  10,91910,CV,1310A5,3,2,"1,611",2004,104,"$399,900 ",5/6/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180035693/0/120/90/3092aaa5be0b1b0132069d2b1e0a3870/1/2bdaef15b7d5053a3b54ea915801084f/180035693.JPG,180035693,ACT,ATT,2167 Palo Alto Dr  133,91914,CV,1311D2,2,2,"1,061",2006,50,"$374,000 ",6/29/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180042493/0/120/90/7628bd10791ed4f93cfb8fd1db30b3ac/1/60c790b844f18ec035f69351caa1f913/180042493.JPG,180042493,ACT,TOWNH,2134 Cantata Dr.  36,91914,CV,,2,2,"1,061",2006,17,"$379,000 ",7/30/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180038189/0/120/90/ccc81854f6fe6c23dc715bde6e235db0/1/9aebe57bdc1f293f808a0be7aa6512a0/180038189.JPG,180038189,ACT,ATT,280 Salinas Dr.  171,91914,CV,,2,2,"1,061",2006,37,"$372,000 - $385,000",7/10/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180043165/0/120/90/55c92d7e1170631a6af780f7e0a72c72/1/f3352529eb336c6fdabd266abd69b1ac/180043165.JPG,180043165,ACT,ATT,2360 Corte Pescado  88,91914,CV,1311F3,3,3,"1,285",2006,15,"$399,000 ",8/3/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180045558/0/120/90/95814487346e454423646c9d81ff69dc/1/af89d2ad754adc964caa51b69843d476/180045558.JPG,180045558,ACT,ATT,2340 Corte Flores  98,91914,CV,1311F3,4,3,"1,468",2006,3,"$419,000 ",8/15/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180037792/0/120/90/c8ded2f40598a744dd7904fc0c3c7c54/1/3adfb9763b4be6e9b1305179a1ead4ed/180037792.JPG,180037792,ACT,ATT,2271 Alicante Cove,91914,CV,,3,2,"1,342",2000,38,"$449,000 - $465,900",7/11/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180040474/0/120/90/209a84c4482e7cdba3707f963316400d/1/a398e2c1acd010460d9d151cb3184be5/180040474.JPG,180040474,ACT,ATT,381 Caminito Barcelona  59,91914,CV,1.31E+05,3,3,"1,410",2003,26,"$480,000 - $490,000",7/23/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180043088/0/120/90/bae166cc6b1c6cabf1ba25fc4a97b5b7/1/1ac32e17e96c7fd4c6720a2fd0a4a4a1/180043088.JPG,180043088,ACT,TOWNH,4416 Palm Ave  11,91941,LM,,3,3,"1,459",2018,15,"$510,000 ",8/3/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180042646/0/120/90/6eab85a1d01e57a2162d0f917963cdb5/1/a552239060e44a832b73304a57199144/180042646.JPG,180042646,ACT,TOWNH,4412 Palm Ave.  2,91941,LM,,3,3,"1,459",2018,16,"$520,000 ",8/1/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180042673/0/120/90/4a64fc659d742e378d18806adf976f0a/1/5e1b606df3531c4a8ff1cdd50afe10ac/180042673.JPG,180042673,ACT,TOWNH,4414 Palm Ave.  3,91941,LM,,3,3,"1,459",2018,16,"$525,000 ",8/2/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180041627/0/120/90/684bfd2a7572dae469f5eb2b0b93d973/1/2a3c73ad67b6ec431b116711ad0a6e70/180041627.JPG,180041627,ACT,TOWNH,3880 Murray Hill Rd,91941,LM,1270F5,3,2,"1,398",1991,22,"$525,000 ",7/2/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180039455/0/120/90/afaf677782574b4e182840e33318b76b/1/45c9c16159a1aeff3e274339686e39a6/180039455.JPG,180039455,ACT,ATT,5700 Baltimore Dr  71,91942,LM,,2,2,"1,038",1976,31,"$315,000 ",7/18/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180038866/0/120/90/5da61985554075da926c7270c1f4b822/1/0c4216cf68850f7700a7fb03e035d6be/180038866.JPG,180038866,ACT,TOWNH,5700 Baltimore Dr  241,91942,LM,1250G7,2,3,"1,068",1976,26,"$325,000 ",7/15/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180028390/0/120/90/b4f64858b4eee89ddb8deeb8f11b670a/1/930fdc635c6a10b1ddaa77f8fecb4835/180028390.JPG,180028390,ACT,ATT,7002 Melody Ln,91942,LM,1270F1,2,3,"1,270",1990,83,"$385,000 ",5/26/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180041277/0/120/90/b78ea29b1788ed862705fc60bb7b3c83/1/3bf9e66c096ed02f65789493693a0ed6/180041277.JPG,180041277,ACT,ATT,7780 Parkway Dr  1001,91942,LM,,3,2,"1,321",1982,23,"$390,000 ",7/26/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180045667/0/120/90/66debbfa8c441dda8835d01f39bc596e/1/5bebde783b60bd2328144b09c4d3d5af/180045667.JPG,180045667,ACT,ATT,7705 El Cajon Boulevard 1,91942,LM,,2,3,"1,465",2005,3,"$430,000 ",8/15/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180042650/0/120/90/f8241e726388e29ed00a28e2e0781d5f/1/3c8409ca914853a84670b5a28461a6ab/180042650.JPG,180042650,ACT,ATT,7715 El Cajon Blvd  5,91942,LM,1270G2,3,3,"1,248",2006,16,"$433,000 ",8/2/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180032956/0/120/90/220e7319e5de651fc056e43f4e659910/1/11d46135dc69a73f1fbc2952f60a806e/180032956.JPG,180032956,ACT,TOWNH,5440 Baltimore Drive  157,91942,LM,,3,3,"1,335",1974,62,"$425,000 - $435,000",6/17/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180035282/0/120/90/55e39028a6415da4e6ce6e106aa5bfb9/1/a0da32ae33d95d22d08d9f9dbc2fc97c/180035282.JPG,180035282,ACT,ATT,3605 Grove Street  156,91945,LEM,,2,2,"1,022",2005,51,"$299,000 - $305,000",6/28/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180037811/0/120/90/036bf6db0416ee3e486743c29432a281/1/c6c663b9f6d20b9666d73709c8907a4a/180037811.JPG,180037811,ACT,TOWNH,3525 Grove St  116,91945,LEM,1270H5,3,2,"1,088",2005,38,"$330,000 ",7/10/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180031531/0/120/90/0d41bf4a843882f5be8ea3bcdf2ebb3c/1/12af1eec260966a2833e1518b6ded16a/180031531.JPG,180031531,ACT,TOWNH,3180 Florine Dr  4,91945,LEM,1270F6,3,3,"1,588",1991,68,"$375,000 - $400,000",5/16/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180044672/0/120/90/da027892f27979c8b3ab07355d25c533/1/c0349ee545cbfdc0ec4f87122433cae1/180044672.JPG,180044672,ACT,ATT,1925 Via Las Palmas  42,91950,NAT,1310B2,2,2,"1,081",1981,8,"$319,900 - $339,900",8/10/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180042049/0/120/90/a00ec7f81c22792ad33cbdf7d8d67398/1/815dd41529dc4d4f2753a93d58646a75/180042049.JPG,180042049,ACT,ATT,3328 Fairlomas Rd,91950,NAT,,3,3,"1,400",1973,18,"$400,000 - $415,000",7/30/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180018960/0/120/90/521938d343a0121327a34506b07adb4f/1/3f6db40c170f854026504a3394791a8f/180018960.JPG,180018960,ACT,TOWNH,825 C AVE,91950,NAT,,2,2,"1,042",2015,128,"$425,000 ",4/12/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180041632/0/120/90/da87e07876819fb8ae4ccf81e273c9f5/1/2bfc7ebdb38bf1d8291f69b6928634a8/180041632.JPG,180041632,ACT,ATT,2108 Kings View Cir,91977,SV,,2,3,"1,020",1991,22,"$325,000 - $335,000",7/26/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180036336/0/120/90/88bad544236abe107726a45a81832145/1/0fa4776e93f8b9ad256091f36db9d2c4/180036336.JPG,180036336,ACT,ATT,8109 Paradise Valley Ct,91977,SV,1290H5,3,2,"1,280",1979,46,"$344,000 ",7/3/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180040957/0/120/90/ea76660e8985f995f6ef0fef340e357c/1/c68c4444545d54e19421135112bc5580/180040957.JPG,180040957,ACT,ATT,430 Bluffview,91977,SD,1290J5,3,2,"1,125",1979,24,"$349,000 ",7/24/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180031944/0/120/90/58300af22cef2883e0fbcfb7f81f0114/1/8c511fa0242728330168f7dadc614be1/180031944.JPG,180031944,ACT,TOWNH,8164 Paradise Valley Court,91977,SV,,3,2,"1,280",1974,66,"$350,000 ",6/13/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180041867/0/120/90/24e0654353f52fb0d4d3fc50a331bb32/1/4bf0e6f4f8f85ca089a13bf2b2dab5e7/180041867.JPG,180041867,ACT,TOWNH,8233 WARMWOOD AVE,91977,SV,,3,2,"1,280",1980,19,"$359,999 ",7/29/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180019331/0/120/90/bdd1d1090b105b083250cdaafb6936df/1/04b51fc0e48ee9916ad3a13634059647/180019331.JPG,180019331,ACT,ATT,2037 Terraspiro,91977,SV,,3,3,"1,179",1973,83,"$369,900 ",4/13/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180030132/0/120/90/bcfb535cde271c01df389a30a8d57a48/1/b3716feb07be4de34939cb4bad82879c/180030132.JPG,180030132,ACT,TOWNH,2033 Terraspiro Ave,91977,SV,,3,3,"1,179",1973,74,"$375,000 ",6/5/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180030431/0/120/90/011c34c1d62fa23d495fb2ddf16ac01e/1/cce58e84bee2159413bda6d02b097aa5/180030431.JPG,180030431,ACT,ATT,8737 Spring Canyon Dr,91977,SV,,3,3,"1,226",1986,44,"$389,000 ",6/6/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180041854/0/120/90/f9f0e144af38b44b52dc519779a9acc8/1/03df6a7efe68e81dbb09a9fc0846cbd7/180041854.JPG,180041854,ACT,TOWNH,2043 Sweetwater Rd.  B,91977,SV,,4,3,"1,512",2003,20,"$425,000 ",7/29/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180044377/0/120/90/bf04c33d7f3d73e20c840e991a18697e/1/cdc23054660631ed66fbc59cf6b800bb/180044377.JPG,180044377,ACT,ATT,8781 Vista Del Oro Way,91977,SV,1291A1,3,3,"1,688",1991,9,"$429,900 ",8/9/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180043835/0/120/90/ef24b1291d5cee7f633d6c6d0253f5bb/1/509b94be55fcca994521b7a26a378307/180043835.JPG,180043835,ACT,ATT,4007 Layang Layang Cir  F,92008,CSBW,1106F7,2,2,"1,600",1984,1,"$524,900 ",8/7/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180043791/0/120/90/fcfa166382f2d51a14e9b55161207e62/1/e43b290e0f11c93997345e7042d6e210/180043791.JPG,180043791,ACT,ATT,4014 Aquila St  E,92008,CSBW,,2,3,"1,664",1985,11,"$545,000 ",8/7/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180043401/0/120/90/f36e2c05b60b48c0e8d994ef0868219b/1/f8c9ff9114917c98998a6b7222f9b1b4/180043401.JPG,180043401,ACT,ATT,6909 Quail Place  E,92009,LAC,1.13E+08,2,2,"1,040",1980,14,"$418,000 ",8/3/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180046081/0/120/90/29a836978099080c8e392237bb12bb03/1/39b38aa9de717e613e8134f22f0c6b2e/180046081.JPG,180046081,ACT,ATT,3045 Corte Trabuco,92009,LAC,,2,2,"1,135",1986,1,"$419,000 ",8/17/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180039731/0/120/90/cd4cd4723faa5f3a3bad32a57b5401b1/1/757c906ef84befbc6de16e3e82cb2544/180039731.JPG,180039731,ACT,ATT,3463 Caminito Sierra  101,92009,LAC,,2,2,"1,022",1989,30,"$400,000 - $425,000",7/19/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180031434/0/120/90/7147a468cbd7140be4d2cc45f750c561/1/6f7586719c38595031c214355919a8f4/180031434.JPG,180031434,ACT,ATT,2625 Pirineos Way  129,92009,CSBS,,2,2,"1,357",1976,69,"$449,900 ",6/9/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180042945/0/120/90/ebab00c8933b7c1f958ba56851a3a896/1/3fb7b4d204bd5e3afc32a2e0371acd74/180042945.JPG,180042945,ACT,TOWNH,6175 Paseo Camas,92009,CSBE,,3,2,"1,044",2002,16,"$449,900 ",8/2/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180035181/0/120/90/d5dd53e4c53c32d0c2b216532d6b4187/1/ff2267e944f4e9ed5e3b122a4ace9cb2/180035181.JPG,180035181,ACT,ATT,2348 La Costa Ave  306,92009,CSBS,,2,2,"1,224",1974,51,"$469,500 ",6/28/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180031338/0/120/90/76472ded52e92fcf1707eef92f513763/1/c850ed288ab9afc2e446d416c1097904/180031338.JPG,180031338,ACT,ATT,3168 Camino Arroyo,92009,LAC,1127J7,2,2,"1,409",1986,70,"$400,000 - $475,000",6/9/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180046084/0/120/90/c6e816674215985c68cef290dec2f47e/1/d0b065f0aee4c2be28e38a37e74dd985/180046084.JPG,180046084,ACT,ATT,7347 Alicante Rd  B,92009,LAC,,2,3,"1,229",1975,1,"$475,000 ",8/17/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180045489/0/120/90/b7f00e36cd603d8e1a1f742a7ed8df06/1/21f8d0075b1f36d45e461607607d8a84/180045489.JPG,180045489,ACT,ATT,2349 Caringa Way  2,92009,CSBS,1127F7,2,3,"1,533",1975,3,"$485,000 ",8/15/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180040716/0/120/90/c146f4f3488e9a631b736286f4ba3623/1/00382e3b4ad80a3ac500d722a1ba2bad/180040716.JPG,180040716,ACT,ATT,3146 Vista Grande,92009,LAC,,2,2,"1,158",1987,25,"$489,000 ",7/24/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180037619/0/120/90/f9b3e54b2c27b8d2626e06ccf864282f/1/5f74040c7ab3e4cbd74812214add36da/180037619.JPG,180037619,ACT,TOWNH,6279 Citracado Cir,92009,CSBE,,2,2,"1,199",2002,39,"$490,000 ",7/10/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180022716/0/120/90/278ddacfc91c18772fe52d6bd23adbfd/1/af97aea4c3d53ea969a2a0be90b3aaf6/180022716.JPG,180022716,ACT,ATT,3125 Calle Viento,92009,CSBS,1127J7,2,2,"1,158",1988,93,"$498,888 ",5/1/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180040040/0/120/90/0482d6d1920e20222ebd96697746b91d/1/e0d69f7d606f7b8fca35806ef25e8b83/180040040.JPG,180040040,ACT,ATT,2501 Navarra Drive  114,92009,LAC,,2,2,"1,100",1974,29,"$499,000 ",7/20/18,,,For Sale,No
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180034341/0/120/90/785a2390d6beacba6a13c7243e901fb8/1/d966e06fbec4bdb3cda295a516124c33/180034341.JPG,180034341,ACT,TOWNH,7578 Gibraltar Street  7,92009,LAC,,2,3,"1,242",1980,57,"$499,000 ",6/22/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180040188/0/120/90/cac0b6aa81514afe55514e35f7206f90/1/312f79d78c04ee8b8be2d04ede2ff571/180040188.JPG,180040188,ACT,TOWNH,6261 Citracado Circle,92009,CSBE,,2,3,"1,123",2002,29,"$499,000 ",7/20/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180042365/0/120/90/2aadfb6a5e9e46b124118db118f89f92/1/ac1564cfe536fc36e6e55e6da12c4dc9/180042365.JPG,180042365,ACT,TOWNH,6306 Citracado Cir,92009,CSBE,1127H2,2,3,"1,322",2002,17,"$500,000 ",8/1/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180038460/0/120/90/b0dc3daaecf9d3f32a316a1ca1567e72/1/00f2cbb56b7da5c6d27a3d0fe967cc81/180038460.JPG,180038460,ACT,ATT,7095 Estrella De Mar Rd  B,92009,LAC,,2,2,"1,264",1966,36,"$504,999 ",7/13/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180035240/0/120/90/bd41fd894715f779e14afd3d098103ec/1/c2e173b3b2ca36cf625f7b609697b252/180035240.JPG,180035240,ACT,ATT,3168 Vista Grande,92009,CSBE,,2,2,"1,158",1987,51,"$512,900 ",6/27/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180035702/0/120/90/61b786bf3deeb5f9dbe6489627daf1cf/1/4541febaee99bab706370a06c944007e/180035702.JPG,180035702,ACT,ATT,7087 Estrella De Mar Rd  B,92009,LAC,1127F6,2,2,"1,372",1966,50,"$514,999 ",6/29/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180036867/0/120/90/94e5ec9c51423f3b5f7ce8fa57e5603a/1/67b042e52eded552f1b4f0df042252e1/180036867.JPG,180036867,ACT,ATT,7083 Estrella De Mar Rd  C,92009,LAC,1127F6,2,2,"1,372",1966,43,"$514,999 ",7/6/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180043977/0/120/90/a8194f3f539ad5bec6037c57ef4d728e/1/b479ef574ed4bd7b31b4c81cc1322479/180043977.JPG,180043977,ACT,ATT,2311 Caringa Way  44,92009,CSBW,,2,2,"1,536",1975,10,"$524,000 ",8/8/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180023756/0/120/90/e45afbbf6e39d872b1b6f10ba403b23b/1/ba2e33887e8d838c91f2121a1634f3cc/180023756.JPG,180023756,ACT,TOWNH,2504 Navarra Drive  206,92009,CSBS,1147G1,2,3,"1,392",1973,77,"$499,999 - $525,000",5/4/18,,,For Sale,
http://cdnparap00.paragonrels.com/ParagonImages/Property/p0/SANDICOR/180041639/0/120/90/12ff12eaf86a380d4fb9d3c6da1a5a13/1/0484766905ee6c903c1f511140902bff/180041639.JPG,180041639,ACT,TOWNH,2323 Caringa Way  16,92009,LAC,,2,2,"1,536",1975,22,"$535,000 ",7/27/18,,,For Sale,
